Entidad de Residencia,Año Registro,Sexo,Población Niños,Defunciones Niños,Mortalidad Niños,Población Adolescentes,Defunciones Adolescentes,Mortalidad Adolescentes
Chiapas,2005,Hombre,595516,27,11.48,1416176,69,15.65
Chiapas,2006,Hombre,593705,23,8.67,1430753,85,20.31
Chiapas,2007,Hombre,591192,38,14.46,1445982,100,23.77
Chiapas,2008,Hombre,588399,39,17.17,1460611,115,27.85
Chiapas,2009,Hombre,585579,30,11.54,1472375,106,24.63
Chiapas,2010,Hombre,582556,21,9.56,1476192,71,16.05
Chiapas,2011,Hombre,579290,34,17.22,1486682,86,18.62
Chiapas,2012,Hombre,576159,29,13.06,1490313,77,16.8
Chiapas,2013,Hombre,573264,34,13.36,1491716,102,21.82
Chiapas,2014,Hombre,570620,44,17.47,1490710,114,23.41
Chihuahua,2000,Hombre,338025,19,12.85,838337,45,16.43
Chihuahua,2001,Hombre,341270,21,22.68,846454,45,14.9
Chihuahua,2002,Hombre,344130,14,11.64,854240,42,16.59
Chihuahua,2003,Hombre,346677,20,19.97,861895,52,20.46
Chihuahua,2004,Hombre,348902,19,19.08,868912,51,17.24
Chihuahua,2005,Hombre,350976,21,15.38,875736,65,26.28
Chihuahua,2006,Hombre,352943,15,9.49,882889,55,23.54
Chihuahua,2007,Hombre,354906,18,15.76,890438,58,23.29
Chihuahua,2008,Hombre,356901,13,10.35,897915,45,17.01
Chihuahua,2009,Hombre,359241,22,13.64,904765,64,23.71
Chihuahua,2010,Hombre,359695,15,11.32,906807,61,24.44
Chihuahua,2011,Hombre,358886,11,6.94,907024,61,24.36
Chihuahua,2012,Hombre,358413,20,12.09,909123,56,21.45
Chihuahua,2013,Hombre,357669,21,22.1,910403,59,20.54
Chihuahua,2014,Hombre,356687,14,15.64,911495,38,15.16
Distrito Federal,2000,Hombre,792982,39,11.93,2135940,131,19.44
Distrito Federal,2001,Hombre,781573,44,14.97,2108497,126,18.78
Distrito Federal,2002,Hombre,770269,43,16.14,2080393,123,18.63
Distrito Federal,2003,Hombre,759768,35,11.33,2051518,121,19.28
Distrito Federal,2004,Hombre,749664,42,13.62,2021000,122,18.46
Distrito Federal,2005,Hombre,739933,44,17.33,1990805,116,18.36
Distrito Federal,2006,Hombre,730231,50,17.9,1961755,142,22.77
Distrito Federal,2007,Hombre,719898,45,15.97,1933076,119,19.48
Distrito Federal,2008,Hombre,709784,35,16.77,1905588,97,15.6
Distrito Federal,2009,Hombre,700135,28,9.16,1877937,104,19.27
Distrito Federal,2010,Hombre,690132,46,17.65,1846300,124,21.07
Distrito Federal,2011,Hombre,680018,37,15.85,1820676,125,22.46
Distrito Federal,2012,Hombre,670229,30,9.93,1794161,112,21.3
Distrito Federal,2013,Hombre,660530,28,11.5,1768972,90,16.43
Distrito Federal,2014,Hombre,650982,40,13.77,1744800,108,19.91
Durango,2000,Hombre,184376,4,9.08,448124,10,7.64
Durango,2001,Hombre,184200,8,13.55,448342,24,18.27
Durango,2002,Hombre,183577,8,14.13,448609,16,10.4
Durango,2003,Hombre,182858,3,3.56,448994,21,19.15
Durango,2004,Hombre,181860,7,13.25,448542,19,14.02
Durango,2005,Hombre,180714,6,12.29,448996,10,5.82
Durango,2006,Hombre,179484,7,22.39,450622,19,15.82
Durango,2007,Hombre,178170,7,9.31,452312,9,4.62
Durango,2008,Hombre,177071,7,9.38,454661,23,17.34
Durango,2009,Hombre,176207,7,8.16,456145,13,7.39
Durango,2010,Hombre,175247,9,11.72,455905,19,12.64
Durango,2011,Hombre,174221,11,15.01,456221,21,13.19
Durango,2012,Hombre,173252,6,12.23,455414,20,13.61
Durango,2013,Hombre,172296,6,12.6,454300,10,6.41
Durango,2014,Hombre,171379,3,4.11,452917,23,19.39
Guanajuato,2000,Hombre,627635,31,15.53,1551453,93,20.4
Guanajuato,2001,Hombre,626910,27,13.18,1543574,63,12.42
Guanajuato,2002,Hombre,624927,35,16.12,1538721,97,19.65
Guanajuato,2003,Hombre,621829,37,15.78,1536031,91,17.3
Guanajuato,2004,Hombre,618286,24,8.83,1533862,80,17.67
Guanajuato,2005,Hombre,613304,26,10.61,1529316,80,17.19
Guanajuato,2006,Hombre,606773,27,12.42,1524313,87,18.88
Guanajuato,2007,Hombre,600853,23,12.59,1523967,77,17.76
Guanajuato,2008,Hombre,596328,32,12.81,1528484,76,15.18
Guanajuato,2009,Hombre,592869,30,15.13,1532809,88,18.65
Guanajuato,2010,Hombre,589748,32,14.97,1527560,108,24.32
Guanajuato,2011,Hombre,586771,26,10.9,1530381,78,17.37
Guanajuato,2012,Hombre,584124,34,16.91,1526474,100,21.09
Guanajuato,2013,Hombre,581478,30,16.26,1520688,86,18.58
Guanajuato,2014,Hombre,578865,25,10.88,1513871,95,22.38
Guerrero,2000,Hombre,425129,13,8.53,990849,45,15.59
Guerrero,2001,Hombre,423909,9,6.64,991475,25,8.14
Guerrero,2002,Hombre,421760,21,16.79,993652,43,13.3
Guerrero,2003,Hombre,419090,15,7.77,996004,41,14.77
Guerrero,2004,Hombre,415578,13,7.35,997474,45,16.93
Guerrero,2005,Hombre,411243,12,6.44,998701,36,12.58
Guerrero,2006,Hombre,406350,14,8.14,1000480,54,21.41
Guerrero,2007,Hombre,401436,15,10.5,1003348,55,20.75
Guerrero,2008,Hombre,396973,17,9.58,1007069,39,12.22
Guerrero,2009,Hombre,393320,18,12.24,1009674,52,16.05
Guerrero,2010,Hombre,389757,19,12.44,1006229,41,11.91
Guerrero,2011,Hombre,385778,14,8.45,1005528,44,15.69
Guerrero,2012,Hombre,381811,16,11.87,1000649,42,12.71
Guerrero,2013,Hombre,377814,19,13.27,994578,51,16.27
Guerrero,2014,Hombre,373841,20,16.57,987343,50,15.45
Hidalgo,2000,Hombre,276904,16,12.51,680626,40,18.2
Hidalgo,2001,Hombre,276936,13,12.58,681006,35,15.34
Hidalgo,2002,Hombre,276585,11,9.05,682575,41,20.69
Hidalgo,2003,Hombre,276195,18,20.47,684655,42,19.85
Hidalgo,2004,Hombre,275914,13,18.75,686664,39,19.69
Hidalgo,2005,Hombre,275533,15,17.97,688815,45,23.84
Hidalgo,2006,Hombre,275091,13,12.71,691499,39,18.8
Hidalgo,2007,Hombre,275083,12,12.52,694847,44,23.08
Hidalgo,2008,Hombre,275674,14,17.02,699260,54,25.78
Hidalgo,2009,Hombre,276871,15,20.65,704321,43,21.83
Hidalgo,2010,Hombre,277835,17,13.51,707493,41,18.55
Hidalgo,2011,Hombre,278169,8,6.29,711241,24,11.75
Hidalgo,2012,Hombre,278416,16,15.26,713678,40,18.61
Hidalgo,2013,Hombre,278440,16,12.56,715652,46,19.17
Hidalgo,2014,Hombre,278272,12,12.6,717120,48,24.3
Jalisco,2000,Hombre,756721,44,16.91,1893665,110,16.59
Jalisco,2001,Hombre,756063,52,22.2,1897211,112,18.7
Jalisco,2002,Hombre,754221,35,11.26,1899575,123,21.16
Jalisco,2003,Hombre,752517,40,14.81,1901645,132,23.49
Jalisco,2004,Hombre,750855,51,20.26,1900539,109,16.25
Jalisco,2005,Hombre,749798,39,14.84,1902260,137,24.38
Jalisco,2006,Hombre,749218,29,9.61,1908046,99,17.61
Jalisco,2007,Hombre,749170,39,15.67,1913604,121,20.94
Jalisco,2008,Hombre,750413,36,14.76,1921181,94,14.66
Jalisco,2009,Hombre,752778,52,17.13,1929556,118,18.9
Jalisco,2010,Hombre,754325,38,13.26,1933221,106,18.35
Jalisco,2011,Hombre,754859,50,16.83,1936491,94,12.97
Jalisco,2012,Hombre,755574,44,17.01,1938414,124,20.76
Jalisco,2013,Hombre,755966,28,8,1939912,102,18.33
Jalisco,2014,Hombre,756013,35,12.64,1941247,101,16.91
México,2000,Hombre,1511478,73,13.74,3672836,191,16.7
México,2001,Hombre,1522930,89,16.51,3711712,225,19.23
México,2002,Hombre,1532067,70,13.21,3748395,192,16.6
México,2003,Hombre,1540214,71,12.93,3783802,227,20.92
México,2004,Hombre,1546108,63,11.62,3817582,233,21.6
México,2005,Hombre,1550216,54,9.88,3851544,178,15.28
México,2006,Hombre,1553584,74,13.22,3885532,208,17.96
México,2007,Hombre,1556669,57,12.89,3918519,191,16.4
México,2008,Hombre,1559976,54,9.73,3950244,208,18.9
México,2009,Hombre,1563332,72,12.24,3977386,204,16.93
México,2010,Hombre,1566116,77,13.24,3988812,231,19.36
México,2011,Hombre,1568957,46,9.05,4016555,184,16.7
México,2012,Hombre,1571324,71,11.63,4032004,191,15.27
México,2013,Hombre,1573399,58,9.09,4045857,186,14.73
México,2014,Hombre,1575221,62,11.74,4057111,218,18.46
Michoacán de Ocampo,2000,Hombre,488173,34,15.47,1225945,74,17.76
Michoacán de Ocampo,2001,Hombre,485230,24,14.47,1218910,76,21.29
Michoacán de Ocampo,2002,Hombre,480962,22,10.52,1212182,66,17.98
Michoacán de Ocampo,2003,Hombre,476566,13,7.56,1205790,71,22.22
Michoacán de Ocampo,2004,Hombre,471999,28,14.62,1197447,52,10.97
Michoacán de Ocampo,2005,Hombre,467520,30,19.39,1190788,76,19.8
Michoacán de Ocampo,2006,Hombre,463280,16,8.02,1187146,58,18.08
Michoacán de Ocampo,2007,Hombre,459752,23,11.33,1184854,61,17.43
Michoacán de Ocampo,2008,Hombre,457641,18,10.37,1185529,50,14.38
Michoacán de Ocampo,2009,Hombre,456691,22,15.8,1186515,84,25.67
Michoacán de Ocampo,2010,Hombre,455489,18,18.81,1180537,72,21.77
Michoacán de Ocampo,2011,Hombre,453863,14,6.94,1179743,48,13.4
Michoacán de Ocampo,2012,Hombre,452749,19,12.8,1175207,47,13.31
Michoacán de Ocampo,2013,Hombre,451660,27,13.29,1170280,59,14.23
Michoacán de Ocampo,2014,Hombre,450465,15,8.99,1165163,43,11.37
Morelos,2000,Hombre,176809,11,17.3,440577,31,24.24
Morelos,2001,Hombre,176674,9,16.39,442220,35,27.05
Morelos,2002,Hombre,175818,7,13.61,443458,13,8.62
Morelos,2003,Hombre,175010,13,16.55,444628,37,25.67
Morelos,2004,Hombre,174152,8,10.35,444922,24,19.1
Morelos,2005,Hombre,173464,12,15.27,446096,20,10.64
Morelos,2006,Hombre,173034,10,16.79,448200,30,21.39
Morelos,2007,Hombre,172748,6,7.82,449770,24,17.61
Morelos,2008,Hombre,172837,3,3.75,451617,23,17.13
Morelos,2009,Hombre,173250,9,20.75,453426,31,22.05
Morelos,2010,Hombre,173603,6,7.48,453061,24,19.02
Morelos,2011,Hombre,173977,8,14.98,454053,24,18.85
Morelos,2012,Hombre,174564,8,9.45,453910,30,21.7
Morelos,2013,Hombre,175125,7,17.69,453851,35,28.88
Morelos,2014,Hombre,175639,8,9.4,453829,24,16.59
Nayarit,2000,Hombre,105850,8,17,269028,20,23.41
Nayarit,2001,Hombre,105575,4,7.99,268975,10,10.96
Nayarit,2002,Hombre,105289,8,40.43,269245,16,17.01
Nayarit,2003,Hombre,105210,4,7.49,269934,12,14.84
Nayarit,2004,Hombre,105288,9,18.97,270496,15,15.06
Nayarit,2005,Hombre,105592,5,9.88,271752,21,27.87
Nayarit,2006,Hombre,106259,11,28.82,273891,27,26.35
Nayarit,2007,Hombre,107346,2,4.19,276374,12,18.6
Nayarit,2008,Hombre,108860,5,10.56,279672,23,27.9
Nayarit,2009,Hombre,110763,5,9.48,283539,11,10.87
Nayarit,2010,Hombre,112680,5,9.73,287206,21,23.6
Nayarit,2011,Hombre,114410,11,27.42,290144,19,17.2
Nayarit,2012,Hombre,116029,2,4.28,293197,12,13.63
Nayarit,2013,Hombre,117524,5,9.75,296284,15,14.95
Nayarit,2014,Hombre,118905,5,8.76,299419,11,11.63
Nuevo León,2000,Hombre,421340,18,13.22,1063408,66,20.96
Nuevo León,2001,Hombre,425120,21,14.76,1069350,65,21.39
Nuevo León,2002,Hombre,428538,25,16.65,1075664,41,9.69
Nuevo León,2003,Hombre,431965,17,12.37,1082419,53,15.82
Nuevo León,2004,Hombre,435086,22,12.76,1089180,68,20.51
Nuevo León,2005,Hombre,437679,24,19.69,1097079,70,20.28
Nuevo León,2006,Hombre,439986,18,11.03,1105946,60,18.13
Nuevo León,2007,Hombre,442192,33,19.61,1114852,83,23.67
Nuevo León,2008,Hombre,444254,23,11.35,1124148,63,18.53
Nuevo León,2009,Hombre,446046,15,10.83,1133102,49,13.54
Nuevo León,2010,Hombre,447315,26,16.64,1140383,70,20.41
Nuevo León,2011,Hombre,448313,24,17.35,1147419,64,17.84
Nuevo León,2012,Hombre,449095,22,14.83,1153145,64,17.4
Nuevo León,2013,Hombre,449655,24,11.76,1158991,62,16.4
Nuevo León,2014,Hombre,450072,25,12.31,1164504,73,19.88
Oaxaca,2000,Hombre,445584,26,16.67,1070676,58,15.49
Oaxaca,2001,Hombre,444159,21,12.55,1066239,73,23.22
Oaxaca,2002,Hombre,442006,26,19.97,1066140,74,22.64
Oaxaca,2003,Hombre,439311,15,7.74,1066833,51,17.88
Oaxaca,2004,Hombre,436721,19,15.11,1068663,65,20.62
Oaxaca,2005,Hombre,432689,29,23.56,1067163,77,23.91
Oaxaca,2006,Hombre,427402,17,12.44,1063550,81,28.56
Oaxaca,2007,Hombre,423030,11,5.79,1064086,45,17.54
Oaxaca,2008,Hombre,419650,19,14.36,1067600,51,15.21
Oaxaca,2009,Hombre,417112,19,12.24,1071070,71,23.91
Oaxaca,2010,Hombre,415041,18,11.69,1067729,72,23.98
Oaxaca,2011,Hombre,412846,22,14.19,1070536,58,16.53
Oaxaca,2012,Hombre,410780,21,13.02,1067440,53,15.54
Oaxaca,2013,Hombre,408913,13,7.34,1063235,51,17.38
Oaxaca,2014,Hombre,407069,23,14.36,1058281,63,18.02
Puebla,2000,Hombre,651426,26,12.26,1555680,94,21.85
Puebla,2001,Hombre,653160,27,11.68,1561080,121,27.5
Puebla,2002,Hombre,654256,41,16.09,1569792,109,21.33
Puebla,2003,Hombre,654121,42,21.43,1579217,102,19.29
Puebla,2004,Hombre,652648,53,20.63,1590064,125,23.74
Puebla,2005,Hombre,649643,36,15.56,1596859,90,17.21
Puebla,2006,Hombre,646169,53,20.56,1600005,113,20.73
Puebla,2007,Hombre,643419,26,10.32,1606449,86,17.61
Puebla,2008,Hombre,641181,22,11.27,1615067,92,21.79
Puebla,2009,Hombre,639128,26,11.86,1621968,74,14.57
Puebla,2010,Hombre,637061,34,12.86,1621123,100,20.14
Puebla,2011,Hombre,635120,32,15.07,1628566,84,15.48
Puebla,2012,Hombre,633218,23,9.15,1629764,105,22.36
Puebla,2013,Hombre,631270,36,15.18,1628664,100,20.98
Puebla,2014,Hombre,629343,35,14.9,1624991,129,27.7
Querétaro de Arteaga,2000,Hombre,189718,9,22.4,465634,23,15.49
Querétaro de Arteaga,2001,Hombre,190152,11,20.68,468214,27,17.43
Querétaro de Arteaga,2002,Hombre,190513,8,9.19,471537,24,15.46
Querétaro de Arteaga,2003,Hombre,190779,10,15.97,474695,26,17.74
Querétaro de Arteaga,2004,Hombre,191085,10,20.13,477989,28,19.83
Querétaro de Arteaga,2005,Hombre,190888,10,11.53,480152,28,18.81
Querétaro de Arteaga,2006,Hombre,190399,6,6.82,481801,46,38.55
Querétaro de Arteaga,2007,Hombre,190405,22,34.66,484763,44,26.48
Querétaro de Arteaga,2008,Hombre,190553,13,23.36,488197,37,24.06
Querétaro de Arteaga,2009,Hombre,190684,10,11.53,491330,26,16.81
Querétaro de Arteaga,2010,Hombre,190856,7,7.85,492276,29,21.46
Querétaro de Arteaga,2011,Hombre,191033,12,22.08,495195,38,26.08
Querétaro de Arteaga,2012,Hombre,191213,10,15.45,496439,24,14.43
Querétaro de Arteaga,2013,Hombre,191369,7,8.1,497435,17,10.85
Querétaro de Arteaga,2014,Hombre,191510,10,20.18,498162,24,15.07
Quintana Roo,2000,Hombre,115970,6,18.93,298344,12,12.13
Quintana Roo,2001,Hombre,117187,10,27.41,303793,20,16.81
Quintana Roo,2002,Hombre,118481,9,24.87,309151,17,13.91
Quintana Roo,2003,Hombre,119901,2,4.24,314263,20,24.42
Quintana Roo,2004,Hombre,121576,8,14.76,319344,26,27.84
Quintana Roo,2005,Hombre,123263,5,8.86,323973,17,16.63
Quintana Roo,2006,Hombre,125567,11,19.48,328793,15,8.86
Quintana Roo,2007,Hombre,128993,6,10.11,334649,18,18.66
Quintana Roo,2008,Hombre,132296,8,13.59,340316,20,16.18
Quintana Roo,2009,Hombre,135595,6,15.54,345929,20,19.06
Quintana Roo,2010,Hombre,139221,7,10.59,352207,25,22.05
Quintana Roo,2011,Hombre,142816,9,25.25,357710,25,23.6
Quintana Roo,2012,Hombre,146427,9,13.89,363717,21,15.7
Quintana Roo,2013,Hombre,150038,6,14.08,369878,16,14.42
Quintana Roo,2014,Hombre,153590,6,8.76,376262,26,22.32
San Luis Potosí,2000,Hombre,289224,10,7.47,697398,40,20.86
San Luis Potosí,2001,Hombre,289121,13,12.58,698709,33,17.33
San Luis Potosí,2002,Hombre,288266,9,9.86,700410,29,13.89
San Luis Potosí,2003,Hombre,287006,19,17.95,702184,35,14.65
San Luis Potosí,2004,Hombre,285239,8,9.32,702915,36,17.98
San Luis Potosí,2005,Hombre,283169,17,18.77,703981,33,14.14
San Luis Potosí,2006,Hombre,280844,8,6.21,705864,40,21.5
San Luis Potosí,2007,Hombre,278538,15,12.02,708014,47,20.82
San Luis Potosí,2008,Hombre,276806,20,24.91,711024,36,14.34
San Luis Potosí,2009,Hombre,275629,12,12.34,713671,30,13.5
San Luis Potosí,2010,Hombre,274446,11,11.89,712688,35,16.57
San Luis Potosí,2011,Hombre,273013,14,11.36,713855,38,17.05
San Luis Potosí,2012,Hombre,271801,10,14.2,712641,52,26.04
San Luis Potosí,2013,Hombre,270701,12,10.17,710795,40,20.52
San Luis Potosí,2014,Hombre,269738,10,10.93,708416,38,20.13
Sinaloa,2000,Hombre,290302,13,10.29,717678,39,17.46
Sinaloa,2001,Hombre,290946,18,19.16,719608,38,16.69
Sinaloa,2002,Hombre,290741,18,21.44,721391,44,20.02
Sinaloa,2003,Hombre,290087,11,8.28,723201,23,9.37
Sinaloa,2004,Hombre,288857,12,9.17,724045,44,21.53
Sinaloa,2005,Hombre,287343,10,7.83,725371,30,13.33
Sinaloa,2006,Hombre,285724,14,11.22,727294,40,18.44
Sinaloa,2007,Hombre,284047,14,13.94,728957,28,10.71
Sinaloa,2008,Hombre,282520,13,10.08,730640,35,15.12
Sinaloa,2009,Hombre,281224,11,8.91,731672,27,9.85
Sinaloa,2010,Hombre,279634,17,21.89,730462,43,17.09
Sinaloa,2011,Hombre,277736,15,20.64,728750,33,14.6
Sinaloa,2012,Hombre,275967,8,9.45,726267,34,15.83
Sinaloa,2013,Hombre,274222,15,12.23,723400,23,7.62
Sinaloa,2014,Hombre,272547,11,9.2,720187,29,12.86
Sonora,2000,Hombre,261130,14,11.87,645676,42,21.32
Sonora,2001,Hombre,262382,17,17.35,650470,33,13.17
Sonora,2002,Hombre,263479,7,5.88,655967,31,18.7
Sonora,2003,Hombre,264587,19,25.01,661465,49,22.87
Sonora,2004,Hombre,265908,8,6.01,666914,40,21.29
Sonora,2005,Hombre,266897,15,15.97,671743,43,21.23
Sonora,2006,Hombre,267678,16,19.54,676442,26,10.07
Sonora,2007,Hombre,268978,13,16.22,681898,49,27.17
Sonora,2008,Hombre,270565,6,4.62,687623,22,11.21
Sonora,2009,Hombre,272467,11,8.8,693553,41,19.37
Sonora,2010,Hombre,273819,17,22.52,699367,43,20.67
Sonora,2011,Hombre,274671,13,13.2,701735,45,21.53
Sonora,2012,Hombre,275362,20,16.31,704870,58,27.26
Sonora,2013,Hombre,275832,19,15.19,707714,49,22.65
Sonora,2014,Hombre,276124,17,13.76,710374,47,21.61
Tabasco,2000,Hombre,237630,14,12.74,580338,36,18.28
Tabasco,2001,Hombre,237850,14,16.46,583376,38,22.18
Tabasco,2002,Hombre,237951,11,13.92,586411,41,22.57
Tabasco,2003,Hombre,237917,16,18.19,589115,44,23.92
Tabasco,2004,Hombre,237858,16,18.19,591882,36,19.28
Tabasco,2005,Hombre,237616,23,24.75,594238,53,26.4
Tabasco,2006,Hombre,236966,16,15.2,595850,46,24.56
Tabasco,2007,Hombre,236196,14,13.53,597310,28,13.11
Tabasco,2008,Hombre,235457,18,23.86,598473,64,36.26
Tabasco,2009,Hombre,234696,12,14.65,599058,44,23.75
Tabasco,2010,Hombre,233881,13,12.41,596133,45,25.44
Tabasco,2011,Hombre,233069,18,17.4,598695,34,16.28
Tabasco,2012,Hombre,232192,27,29.05,597962,49,21.76
Tabasco,2013,Hombre,231266,8,8.01,596942,34,19.41
Tabasco,2014,Hombre,230129,9,11.26,595717,53,32.09
Tamaulipas,2000,Hombre,304812,17,15.04,757070,55,25.1
Tamaulipas,2001,Hombre,308701,13,11.51,765477,29,10.95
Tamaulipas,2002,Hombre,311826,12,10.9,773266,36,15.66
Tamaulipas,2003,Hombre,314677,19,15.72,780643,39,14.59
Tamaulipas,2004,Hombre,317274,16,11.34,787200,42,16.48
Tamaulipas,2005,Hombre,319566,16,15.76,794054,34,12.97
Tamaulipas,2006,Hombre,321824,22,17.83,801942,38,12.06
Tamaulipas,2007,Hombre,324468,11,7.73,810390,19,7.21
Tamaulipas,2008,Hombre,326474,18,17.46,818206,42,15.33
Tamaulipas,2009,Hombre,327261,13,11.58,824253,39,16.09
Tamaulipas,2010,Hombre,326708,16,15.9,826744,46,18.6
